YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders
2026 Regular Session,HB0330,Maryland Legal Services Corporation - Board of Directors - Membership,Increasing the number of members on the Board of Directors of the Maryland Legal Services Corporation from 9 to 12.,"This bill increases the size of the Board of Directors for the Maryland Legal Services Corporation from 9 to 12 voting members. It specifies that the board must consist of seven lawyers and five nonlawyers, all appointed by the Governor, and increases the number of votes required to remove a member from seven to nine.",False,2026.0,,,Board of Directors of the Maryland Legal Services Corporation,"Current and future members of the Board of Directors of the Maryland Legal Services Corporation, the Governor of Maryland, and the Maryland Senate."
2026 Regular Session,HB0331,Maryland Beverage Container Recycling Refund and Litter Reduction Program,"Establishing the Maryland Beverage Container Recycling Refund and Litter Reduction Program to increase the reuse and recycling of beverage containers and reduce the litter, pollution, and costs associated with beverage containers; prohibiting a producer from selling, offering for sale, or distributing in or importing into the State a redeemable beverage container unless the producer is registered with the Department of the Environment, pays a certain fee, and is part of a beverage container stewardship organization; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0332,Civil Actions - Violation of Constitutional Rights (No Kings Act),"Establishing certain civil liability for an individual who, under color of law, deprives another of a right, a privilege, or an immunity secured by the U.S. Constitution.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0333,General Assembly Vacancy - Political Party Central Committee - Procedures,"Establishing requirements for the filling of a vacancy in the office of Senator or Delegate in the General Assembly by a central committee of a political party under the Maryland Constitution relating to applications, public notice, public meetings, and voting; and requiring a member of the central committee who has applied to fill the vacancy to recuse themselves from voting on the individual to fill the vacancy.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0334,State Procurement - Constitutional Violations - Prohibited,Requiring a procurement officer to require a certain certification from a bidder or offeror and to include a certain clause in a State procurement contract relating to unconstitutional activity.,"This bill requires state procurement officers to mandate that bidders and offerors certify they are not violating, and will not violate, the U.S. or Maryland Constitution during the term of a state contract. It also mandates that such a certification clause be included in all state procurement contracts.",False,2026.0,,,State procurement officers,"Bidders, offerors, and contractors for State procurement contracts, including their affiliates and divisions."
2026 Regular Session,HB0335,Real Property - Dedication - Roads,"Establishing that a private road open to public travel for 20 years or more shall be considered offered for dedication to public use; and establishing that the State, a county, or a municipality shall be considered to have accepted an offer for the dedication of a road to public use under the Act if the State, county, or municipality repairs and maintains the road in the same manner as a public road.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0336,Criminal Procedure – District Court Commissioners and False Statements,Prohibiting a District Court commissioner from issuing an arrest warrant to an individual other than a police officer or a State's Attorney; and increasing the penalty for making a certain false statement or report to a certain governmental official or unit from 6 months to up to 3 years imprisonment.,This bill restricts District Court commissioners to issuing arrest warrants only when the application is filed by a police officer or a State's Attorney. It also increases the maximum criminal penalty for knowingly making a false report of a crime or a dangerous condition to a government official from 6 months to 3 years of imprisonment.,False,2026.0,,,District Court of Maryland,"Police officers, State's Attorneys, District Court commissioners, individuals filing criminal complaints, and criminal defendants"
2026 Regular Session,HB0337,School Construction and Housing - School Zones and Adequate Public Facilities Ordinances,"Requiring each county board of education to submit a student residency and school zones report to the Department of Planning and the Interagency Commission on School Construction on or before July 1 each year, beginning on July 1, 2026; prohibiting certain adequate public facilities ordinances from delaying the processing and completion of subdivision or site development plans; and authorizing certain adequate public facilities ordinances to delay the issuance of final permits.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0338,Department of General Services - Maryland Capitol Police - Statewide Jurisdiction,Altering the jurisdiction of the Maryland Capitol Police of the Department of General Services.,"This bill expands the jurisdiction of the Maryland Capitol Police within the Department of General Services to provide them with statewide authority to enforce criminal, parking, and motor vehicle laws. It increases the protective buffer zone around State-owned or State-leased property from 1,000 feet to 2,000 feet and establishes notification requirements for when officers exercise their authority in coordination with other local and state law enforcement agencies.",False,2026.0,,,Maryland Department of General Services (Maryland Capitol Police),"Maryland Capitol Police officers, state employees, public officials, local law enforcement agencies, and the general public."
2026 Regular Session,HB0339,Anne Arundel County - Board of License Commissioners - Chief Inspector - Compensation,Increasing the minimum and maximum salary amounts for the chief inspector employed by the Board of License Commissioners for Anne Arundel County.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0340,School Psychologist Interstate Licensure Compact,Entering into the School Psychologist Interstate Licensure Compact for the purpose of authorizing licensed school psychologists who hold multistate licenses to provide school psychological services in member states; establishing requirements for multistate licensure; establishing the School Psychologist Interstate Licensure Compact Commission; providing for the withdrawal from the Compact; etc.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0341,Maryland Commission for Boys' and Men's Health - Establishment,"Establishing the Maryland Commission for Boys' and Men's Health in the Maryland Department of Health; providing the purpose of the Commission is to raise public awareness of health issues specific to boys and men, including prostate and testicular cancer, oral cancer, cardiovascular disease, depression, diabetes, and substance use disorders; and requiring the Commission to submit a report every 2 years beginning in 2028, to the Governor and certain committees of the General Assembly, with recommendations for certain policy changes.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0342,Forestry Licenses - Applicant Qualifications - Alterations,Requiring that an institution from which an applicant for a forestry license graduates on completion of a certain curriculum has certain approval and accreditation.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0343,Housing Development Projects - Housing Counseling Services,"Requiring a recipient of funding from the Department of Housing and Community Development for any project to construct, acquire, or rehabilitate residential property for use as housing to offer housing counseling services to certain prospective residents; and requiring the Governor to appropriate $200,000 in fiscal year 2028 and each fiscal year thereafter for community development organizations to partner with certain housing counseling agencies providing housing counseling services.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0344,Business Regulation - Sale of Motor Fuel - Pricing Signage,Altering the requirements for signs displaying a standard price and a conditional price for motor fuel products at retail service stations; and authorizing the Comptroller to assess certain penalties under certain circumstances.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0345,Public Utilities - Solar Energy Generating Systems and Solar Renewable Energy Credits (Affordable Solar Act),"Authorizing the purchase, installation, and use of a certain portable solar energy generating system for certain purposes; altering the renewable energy portfolio standard; requiring that certain alternative compliance fees be paid into a certain escrow account rather than into the Maryland Strategic Energy Investment Fund; requiring the Public Service Commission to require electric companies to procure a certain number of SRECs and SREC-IIs; requiring the Commission to issue certain solicitations; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0346,Workers' Compensation - Vocational Rehabilitation Services - Retroactive Compensation,Requiring an employer or its insurer to retroactively pay retroactive compensation to a covered employee as if the covered employee was temporarily totally disabled if the covered employee did not receive compensation during the period between the date maximum medical improvement was attained and the date vocational rehabilitation services began.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0347,Workers' Compensation - Occupational Disease Presumptions - Hypertension,"Establishing that certain firefighters, fire fighting instructors, rescue squad members, advanced life support unit members, and members of the Office of the State Fire Marshal suffering from hypertension are presumed to have an occupational disease that is compensable under workers' compensation law and are presumed to be disabled if certain requirements are met.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0348,Baltimore City - Alcoholic Beverages - License Extension,"Extending until the end of July 1, 2029, the expiration of a racetrack alcoholic beverages license issued for the 5200 block of Park Heights Avenue in Baltimore City for the purpose of completing renovations at the same location.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0349,Public Safety - Law Enforcement - Use of Body-Worn Cameras,"Altering certain provisions of law to require a certain law enforcement agency to require the use of body-worn cameras, subject to a certain policy, by each sworn law enforcement officer, regardless of rank, employed by the law enforcement agency while the officer is in uniform, in public, and conducting law enforcement related duties.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0350,Voting Rights Act of 2026 - Counties and Municipal Corporations,Prohibiting the imposition or application of a method for electing the governing body of a county or municipal corporation that impairs the ability of members of a protected class to elect candidates of the members' choice or the member's ability to influence the outcome of an election as a result of the dilution or the abridgement of the rights of voters who are members of a protected class.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0351,Public Safety - Federal Agents - Digital Unmasking,"Authorizing the Office of the Attorney General or a State's Attorney, upon receipt of a complaint of federal agent misconduct, to direct the Maryland State Police to gather and securely retain certain identifying digital data about a certain federal agent or federal agents; and authorizing a certain complainant to obtain certain identifying digital data only pursuant to a court order issued in a certain case.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0352,Concentration of Poverty School Grant Program - Personnel and Per Pupil Grants - Eligible Uses,Repealing the limitation on the authorization to use personnel grants and per pupil grants under the Concentration of Poverty School Grant Program to provide certain fine arts instructional programs through fiscal year 2027.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0353,Prince George's County - Termination of Gas or Electric Service to Multifamily Dwelling Units - Notification PG 406-25,"Requiring a public service company that intends to terminate, because of nonpayment, electric or gas service to a certain multifamily dwelling unit located in Prince George's County to notify each county elected official representing the district in which the multifamily dwelling unit is located before the termination of gas or electric service under certain circumstances.
",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0354,Maryland Port Administration - Acquisition of Land in Anne Arundel County - Notice of Public Hearing,Requiring the Maryland Port Administration to provide written notice to the Anne Arundel County Delegation to the General Assembly at least 2 weeks prior to the announcement of a public hearing on the acquisition of land or improvements on land in Anne Arundel County.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0355,Education - Sexual Abuse and Assault Awareness and Prevention Program - Human and Sex Trafficking,"Requiring that a certain program on the awareness and prevention of sexual abuse and assault include, for students in grades 6 through 8, material promoting the awareness and prevention of human and sex trafficking.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0356,Human Relations - Protection of the Free Exercise of Religion,"Prohibiting a governmental authority, under certain circumstances, from burdening a person's exercise of religion; and authorizing a person aggrieved by a violation of the Act to obtain certain relief in a civil action.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0357,Municipalities - Election Dates - Reporting Requirements,"Requiring each municipality to report municipal election dates to the State Board of Elections not less than 6 months before each regular election and within 5 business days after a special election is scheduled; and requiring the State Board, each local board of elections, and each municipality that has a website to display certain information relating to municipal elections on their websites.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0358,Sales and Use Tax - Elementary or Secondary School Book Fairs - Exemption,Providing an exemption from the sales and use tax for a sale made at a book fair by an elementary or secondary school or a nonprofit parent-teacher organization or other nonprofit organization within an elementary or secondary school at an in-person book fair on school premises; requiring that the net proceeds of the book sale be used solely for the educational benefit of the school or its student; etc.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0359,Property Tax Credit - Urban Agricultural Property - Alterations,Altering eligibility for a tax credit against the county or municipal corporation property tax imposed on certain urban agricultural property; and requiring a county or municipal corporation that grants the tax credit to provide notice of the termination of the credit at least 1 year in advance and the opportunity to be heard to the public before the county or municipal corporation may exercise its authority to terminate the credit.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0360,Criminal Procedure - Automated Expungement (Clean Slate Act of 2026),"Requiring the Department of Public Safety and Correctional Services and the Judiciary to expunge all cases meeting certain criteria on or before July 1, 2028; and requiring the Department and the Judiciary to expunge certain newly eligible cases on a monthly basis.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0361,Queen Anne’s County – Circuit Court Judgeships,Increasing to two the number of resident judges of the Circuit Court for Queen Anne's County.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0362,Criminal Procedure - Expungement - Effect,"Establishing that a person who has been granted an expungement shall be determined for all purposes not to have been arrested for, cited for, charged with, or convicted of the underlying offense.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0363,Income Tax - Local Child Tax Credit - Authorization,"Authorizing a county to provide, by law, a credit against the county income tax for certain dependent children; and applying the Act to taxable years beginning after December 31, 2026.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0364,State Veterans' Cemeteries - Interment,"Defining the term ""interment location"" for the purposes of provisions of law governing the interment of individuals in State veterans' cemeteries; and requiring the Department of Veterans and Military Families to provide an outer burial receptacle, rather than a grave liner, or a columbarium niche and marker at no cost with each interment location at a State veterans' cemetery.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0365,"Firearms - Right to Purchase, Own, Possess, and Carry","Providing that a person may not be denied the right to purchase, own, possess, or carry a firearm solely on the basis that the person is authorized to use medical cannabis.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0366,Workers' Compensation - Exemption From Exclusivity of Remedy - Action for Wrongful Death by Nondependent Child,Prohibiting the Maryland Workers' Compensation Act from being construed to prohibit a child of a covered employee who is determined not to be a dependent of the covered employee from filing an action for damages related to the wrongful death of the covered employee.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0367,"Health Insurance - Physical Therapy - Copayments, Coinsurance, and Deductibles","Prohibiting insurers, nonprofit health service plans, and health maintenance organizations from imposing a copayment, coinsurance, or deductible for covered physical therapy services that is greater than the copayment, coinsurance, or deductible imposed for an annual physical or wellness visit under the same plan or contract.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0368,Prince George's County - Supplemental Homeowners' Property Tax Credit - Required PG 412-26,"Requiring the governing body of Prince George's County to grant a certain property tax credit to supplement the State homeowners' property tax credit; providing that the State Department of Assessments and Taxation is responsible for certain administrative duties with respect to the credit; requiring the county to reimburse the Department for the reasonable cost of administering the credit; and applying the Act to all taxable years beginning after June 30, 2026.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0369,Prince George's County - Property Tax Credit - New Businesses PG 407-26,"Authorizing the governing body of Prince George's County to grant, by law, a certain property tax credit against the county property tax imposed on the property of new businesses that add at least 10 new full-time jobs in an industry targeted for expansion by the Prince George's County Economic Development Corporation; and applying the Act to all taxable years beginning after June 30, 2026.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0370,Prince George's County - Income Tax - Credit for Employers Providing Parental Engagement Leave PG 419-26,"Allowing employers who provide certain parental engagement leave to certain qualified employees during the taxable year a credit against the State income tax; requiring the State Department of Education, in consultation with the Comptroller, to develop and make available a certain certification form; establishing that the credit equals the qualified employee's hourly wage rate times the number of parental leave hours used by the employee during the taxable year, up to $800; making the credit refundable under certain circumstances; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0371,State Lottery - Courier Services - Licensure,"Authorizing the Director of the State Lottery and Gaming Control Agency to issue a license to certain persons to conduct certain lottery courier services in the State, subject to certain requirements and limitations; defining ""courier service"" as the process of delivering a lottery ticket to a purchaser through the online account of a licensed courier; providing that certain contracts between a licensed courier and a State lottery sales agent are not subject to disclosure under the Public Information Act; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0372,Hospitals - Emergency Pregnancy-Related Medical Conditions - Procedures,Requiring a hospital to conduct screening on a patient presenting at an emergency department of the hospital to determine whether the patient has an emergency pregnancy-related medical condition; establishing requirements and prohibitions related to the treatment and transfer of a patient who has an emergency pregnancy-related medical condition; requiring a hospital to allow the termination of a pregnancy in certain circumstances; etc.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0373,State Board of Dental Examiners - Disciplinary Action and Unannounced Inspections,"Authorizing the State Board of Dental Examiners to conduct unannounced inspections of the office of certain dentists to determine compliance with certain guidelines for infection control; altering the grounds for discipline of dentists, dental hygienists, and dental and dental hygienist license applicants; and authorizing the Board to take disciplinary action against certified expanded function dental assistants and certificate applicants under certain circumstances.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0374,State Acupuncture Board - Revisions,"Defining ""manual therapies"" as it relates to the practice of acupuncture; requiring the State Acupuncture Board to make available proof of renewal, rather than issuing a renewal certificate; prohibiting a person from employing an individual to practice acupuncture without a license or aiding or abetting the unauthorized practice of acupuncture; and providing that a person who violates the Act, for a first offense, is guilty of a misdemeanor and is subject to a fine of up to $5,000 or imprisonment of up to 1 year or both.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0375,Estates and Trusts - Interpretation of Wills - Evidence of Intent (Granny's Law),"Authorizing, under certain circumstances, a personal representative to petition the orphans' court to interpret a decedent's will in accordance with the decedent's intent as demonstrated by certain extrinsic evidence; authorizing the personal representative to require a certain legatee to demonstrate the use of a legacy under the decedent's will; requiring the court to interpret a will in a certain manner if certain language is included in the will; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0376,Prince George's County - Procurement Preference Programs - Regulation PG 404-26,Authorizing the governing body of Prince George's County to enact a local law to regulate certain procurement activities of the Prince George's County public school system and Prince George's Community College; and requiring certain procurement preference programs for procurements made by the Prince George's County Board of Education or the Board of Community College Trustees for Prince George's County to be subject to certain requirements adopted by the governing body of Prince George's County.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0377,Physician Assistants - Parity With Other Health Care Practitioners,"Altering certain provisions of law to include physician assistants in the health care practitioners who may take certain actions, including actions related to the guardianship of disabled persons, admission of individuals to mental health facilities, the Emergency and Allergy Treatment Program, and the Attendant Care Program; requiring the Maryland Department of Health to cover charges related to examinations by a physician assistant for certain emergency evaluees; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0378,Prince George's County - Income Tax Credit for Parent and Guardian Volunteers in Elementary and Secondary Schools PG 420-26,"Allowing certain eligible taxpayers who volunteer in certain schools in Prince George's County a credit against the State income tax in an amount equal to $20 for each volunteer hour, not to exceed $500; requiring the State Department of Education, in consultation with the Comptroller, to develop and make available a certain application and tax credit certificate; requiring a certain county board member or school administrator to issue tax credit certificates in a certain manner; making the credit refundable; etc.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0379,Prince George's County - School Facilities and Public Safety and Behavioral Health Surcharges - Deferral of Payment PG 405-26,"Authorizing the Prince George's County Council and the Governing Body of Prince George's County to defer the payment of the school facilities surcharge and the public safety and behavioral health surcharge until the final inspection of the new residential construction, the issuance of a use and occupancy permit for the property, or the time of closing of the first sale of the property occurring after the issuance of the building permit.",No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HB0380,State Board of Examiners in Optometry - Examination Requirements and Time Period for Inactive Status,Clarifying that applicants for licensure as an optometrist and certain applicants for reinstatement are required to pass all sections of each part of a licensure examination; repealing the requirement that the State Board of Examiners in Optometry give examinations to licensure applicants; prohibiting the Board from placing a licensee on inactive status for more than 6 consecutive years; etc.,No text available to analyze.,False,,,,N/A,N/A
2026 Regular Session,HJ0001,Honoring Charlie Kirk,"Honoring Charles ""Charlie"" James Kirk.","This joint resolution honors the life, leadership, and legacy of Charles 'Charlie' James Kirk, the founder of Turning Point USA, following his death in 2025. The resolution condemns his assassination and all forms of political violence, commends law enforcement for their response, and calls upon all Americans to reject political extremism in favor of respectful civil discourse and the defense of constitutional principles.",False,,,,The Maryland General Assembly and the Department of Legislative Services,"The family of Charlie Kirk, Turning Point USA, law enforcement personnel, and the general public."
2026 Regular Session,HJ0002,United States of America - National Infrastructure Bank,Urging the U.S. Congress to pass H.R. 5356 to establish a national infrastructure bank to finance urgently needed infrastructure projects.,"This joint resolution urges the United States Congress to pass federal legislation, specifically H.R. 5356, to establish a $5 trillion National Infrastructure Bank. The resolution highlights the critical need for infrastructure investment in Maryland, including repairs to bridges, water systems, and affordable housing, and notes that the bank would finance these projects without requiring new federal taxes.",False,,,,Maryland Department of Legislative Services,"Maryland residents, the United States Congress, and the Maryland Congressional Delegation"
2026 Regular Session,SB0004,Charitable Organizations - Charitable Donation and Tax-Exempt Status - Revocation (Keeping Charities Nonpartisan Act of 2026),"Prohibiting certain charitable organizations from participating in or intervening in a political campaign on behalf of or in opposition to a candidate for public office; authorizing the Secretary of State and the Attorney General, acting jointly, to order a 2-year revocation of certain tax-exempt statuses if a certain determination is made; requiring the Comptroller and the Director of the State Department of Assessments and Taxation to revoke certain tax-exempt statuses under certain circumstances; etc.","The Keeping Charities Nonpartisan Act of 2026 prohibits charitable organizations that receive tax-deductible donations from participating or intervening in political campaigns for or against candidates for public office. It authorizes the Secretary of State and the Attorney General to investigate violations, assess civil penalties of up to $5,000 per violation, and jointly order the revocation of state income, sales, and property tax exemptions for two years for willful violations. The act is contingent on changes to federal law or enforcement (the Johnson Amendment) that would otherwise allow such political activity by charities.",False,2026.0,,,"Secretary of State, Attorney General, Comptroller, and the Director of the State Department of Assessments and Taxation","Charitable organizations, donors, political candidates, and Maryland state tax authorities."
2026 Regular Session,SB0007,Higher Education - Douglas J. J. Peters Veterans of the Afghanistan and Iraq Conflicts Scholarship - Repeal of Termination Date,"Repealing the prohibition on awarding the Douglas J. J. Peters Veterans of the Afghanistan and Iraq Conflicts Scholarship after June 30, 2030; and repealing the limitation on renewing the Douglas J. J. Peters Veterans of the Afghanistan and Iraq Conflicts Scholarship if the scholarship recipient received an initial scholarship before June 30, 2030.","This bill makes the Douglas J. J. Peters Veterans of the Afghanistan and Iraq Conflicts Scholarship permanent by repealing the June 30, 2030, termination date for awarding initial scholarships and removing the limits on scholarship renewals after that date.",False,2026.0,,,Maryland Higher Education Commission,"Maryland resident veterans of the Afghanistan and Iraq conflicts, active service members who served in those conflicts, and their spouses and children"
2026 Regular Session,SB0010,State Highway Administration - Speed Monitoring Systems - Application Approval,"Requiring the State Highway Administration to approve, deny, or return as incomplete an application for the use of a certain speed monitoring system within 90 days after receipt of the application; and providing that if the Administration does not approve, deny, or return the application in accordance with the Act, the application is deemed approved.","This bill requires the Maryland State Highway Administration to approve, deny, or return as incomplete any application for a speed monitoring system on a State highway within 90 days of receipt. If the Administration fails to act within this timeframe, the application is automatically deemed approved.",False,,,,State Highway Administration,"Maryland counties, municipal corporations, and the State Highway Administration"
2026 Regular Session,SB0013,Alcoholic Beverages - License Fee Refund Requirements - Alterations,Altering certain alcoholic beverages license fee refund requirements to allow for certain members of the National Oceanic and Atmospheric Administration and the Public Health Service to be eligible for a refund of a portion of the license fee; etc.,"This bill alters the requirements for alcoholic beverages license fee refunds to include members of the uniformed services, such as the National Oceanic and Atmospheric Administration and the Public Health Service, who volunteer for or are called into service, allowing them to receive a refund of the unearned portion of their license fee upon surrendering the license.",False,2026.0,,,"Executive Director of the Maryland Alcohol, Tobacco, and Cannabis Commission and local alcoholic beverages licensing boards","Alcoholic beverages license holders who are members of the uniformed services, including the National Oceanic and Atmospheric Administration and the Public Health Service, or the organized State militia."
2026 Regular Session,SB0018,State Board of Social Work Examiners - Conditional License to Practice Social Work - Revisions,"Altering the circumstances under which the Board of Social Work Examiners may issue a conditional license to practice social work; establishing alternate pathways through which an individual issued a conditional license may receive a full license; and requiring the Board, beginning in 2026, to report to certain committees of the General Assembly on the number of conditional licenses issued under the program, the number of conditional license holders who obtained full licensure, and any recommendations for improving the program.","This bill modifies the criteria for the State Board of Social Work Examiners to issue conditional licenses for bachelor and master level social work. It establishes a new pathway for conditional licensees to obtain a full license by completing 1,500 hours of supervised work experience as an alternative to passing a standardized examination. The bill also defines the duration and supervision requirements for these conditional licenses and requires the Board to report annually on the program's outcomes.",False,2026.0,,,State Board of Social Work Examiners,"Applicants for bachelor and master social work licenses, Board-approved social work supervisors, and the Maryland health care workforce."
2026 Regular Session,SB0019,Maryland Commission on Women's Health Advancement - Establishment,"Establishing the Maryland Commission on Women's Health Advancement to study the feasibility of establishing a State women's hospital in Southern Maryland and a statewide clinical network to advance women's health; requiring the Commission by January 1, 2027, to submit to the Governor and the General Assembly an initial action plan, including a timeline, milestones, and specific research objectives; etc.","This bill establishes the Maryland Commission on Women’s Health Advancement to study the feasibility of creating a State women’s hospital in Southern Maryland and a statewide clinical network for women's healthcare. The commission is responsible for analyzing health gaps, assessing financial viability, and providing recommendations to the Governor and General Assembly before it expires in 2033.",False,2026.0,2033.0,,"Maryland Commission on Women’s Health Advancement, the Maryland Department of Health, and the Maryland Health Care Commission","Women in Maryland, healthcare professionals, patient advocates, and underserved populations"
2026 Regular Session,SB0021,Natural Resources - State Parks - Maryland Golden Age Pass,Establishing that the holder of a Maryland Golden Age Pass is entitled to free day-use entry at certain State parks and is authorized to launch a boat at any State park without paying a boat launch fee; altering the days of the week on which the holder of a Maryland Golden Age Pass may camp overnight in a State park at a discounted fee; and establishing that the free day-use entry applies to everyone in the vehicle with the holder of a Maryland Golden Age Pass under certain circumstances.,"This bill expands the benefits of the Maryland Golden Age Pass for individuals aged 62 and older by providing free day-use entry to State parks, extending this benefit to all passengers in the holder's vehicle when per-vehicle fees apply. It also waives boat launch fees and extends the half-price overnight camping discount to include Sundays through Thursdays.",False,2026.0,,,Maryland Park Service,Maryland residents aged 62 and older and their vehicle passengers
2026 Regular Session,SB0023,Green and Renewable Energy Efficiency for Nonprofits (GREEN) Loan Program and Fund - Establishment,"Establishing the Green and Renewable Energy Efficiency for Nonprofits Loan Program in the Maryland Clean Energy Center to provide financial assistance in the form of no-interest loans to nonprofit organizations for the planning, purchase, and installation of qualifying energy systems and for actions that improve energy efficiency; establishing the Green and Renewable Energy Efficiency for Nonprofits Loan Fund; authorizing the Governor to include $5,000,000 in the fiscal year 2028 budget for the Fund; etc.","This bill establishes the Green and Renewable Energy Efficiency for Nonprofits (GREEN) Loan Program and Fund within the Maryland Clean Energy Center. The program provides no-interest loans to 501(c)(3) nonprofit organizations for the planning, purchase, and installation of renewable energy systems and for energy efficiency improvements such as HVAC repairs and window replacements.",True,2026.0,,5000000.0,Maryland Clean Energy Center,501(c)(3) nonprofit organizations in Maryland
2026 Regular Session,SB0026,Public Utilities - Off-Grid Electricity Providers - Exemption,"Exempting certain off-grid electricity providers from certain provisions of law; providing that a certain off-grid electricity provider is subject to certain laws concerning certificates of public convenience and necessity and certain other required approvals for the construction of a generating facility; providing that a person may not be considered to be an off-grid electricity provider under certain circumstances; and applying the Act to off-grid electricity providers that begin operations after October 1, 2026.","This bill exempts off-grid electricity providers from most state public utility laws and regulations, provided their generating facilities do not interconnect with the Maryland electric system, cross state lines, or occupy public roadways or rights-of-way. While exempt from general utility oversight, these providers must still comply with existing state laws regarding the construction of generating facilities, including requirements for certificates of public convenience and necessity.",False,2026.0,,,Maryland Public Service Commission,"Off-grid electricity providers, entities constructing electric generating facilities, and the Maryland Public Service Commission."
2026 Regular Session,SB0028,Arbitration Reform for State Employees Act of 2026,"Altering the collective bargaining process for certain State employees, including by requiring the selection of a neutral arbitrator to oversee all aspects of collective bargaining, establishing a process of arbitration in the event of impasse, and providing that certain decisions of a neutral arbitrator are advisory; requiring that each budget bill contain the appropriations necessary to implement all terms and conditions of employment in certain memoranda of understanding for the next ensuing fiscal year; etc.","The Arbitration Reform for State Employees Act of 2026 alters the collective bargaining process for Maryland State employees by requiring the selection of a neutral arbitrator and establishing procedures for binding arbitration in the event of an impasse. Crucially, the bill requires the Governor to include appropriations in the annual budget bill necessary to fund all terms and conditions of employment established in memoranda of understanding, and proposes a constitutional amendment to formalize these budgetary requirements.",False,2026.0,,,Governor of Maryland and the Maryland Department of Budget and Management,"Maryland State employees, employees of State institutions of higher education, employees of the Maryland Environmental Service, and their exclusive collective bargaining representatives."
2026 Regular Session,SB0034,Certified Public Accountants - Licensure - Qualifications,Altering certain educational and experiential qualifications for a license to practice certified public accountancy; etc.,"This bill modifies the qualification requirements for obtaining a Certified Public Accountant license in Maryland by offering different combinations of education and practical work experience, including a new option for individuals with a baccalaureate degree and 4,000 hours of work experience.",False,2026.0,,,State Board of Public Accountancy,Individuals seeking licensure as Certified Public Accountants and professional accountants in Maryland
